Date,PriceGas,PriceElec,PriceWater,PriceTotal
30-Mar-14,21.41,16.8,4.78,42.99
06-Apr-14,17.42,17.56,4.84,39.82
13-Apr-14,11.88,12.6,1.6,26.08
13-Apr-14,14.09,16.22,4.19,34.5
27-Apr-14,9.49,12.79,5.6,27.88
04-May-14,11.79,16.8,5.08,33.67
11-May-14,12.7,16.99,6.5,36.19
18-May-14,15.17,14.13,5.09,34.39
25-May-14,5.87,14.89,5.33,26.09
01-Jun-14,5.92,12.41,4,22.33
08-Jun-14,7.55,15.08,4.84,27.47
15-Jun-14,4.82,13.74,4.61,23.17
